,Car_Age,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Present_price
0,6.0,3.35,5.59,27000.0,0,0,0,0,5.59
1,7.0,4.75,9.54,43000.0,1,0,0,0,9.54
2,3.0,7.25,9.85,6900.0,0,0,0,0,9.85
3,9.0,2.85,4.15,5200.0,0,0,0,0,4.15
4,6.0,4.6,6.87,42450.0,1,0,0,0,6.87
5,2.0,9.25,9.83,2071.0,1,0,0,0,9.83
6,5.0,6.75,8.12,18796.0,0,0,0,0,8.12
7,5.0,6.5,8.61,33429.0,1,0,0,0,8.61
8,4.0,8.75,8.89,20273.0,1,0,0,0,8.89
9,5.0,7.45,8.92,42367.0,1,0,0,0,8.92
10,3.0,2.85,3.6,2135.0,0,0,0,0,3.6
11,5.0,6.85,10.38,51000.0,1,0,0,0,10.38
12,5.0,7.5,9.94,15000.0,0,0,1,0,9.94
13,5.0,6.1,7.71,26000.0,0,0,0,0,7.71
14,11.0,2.25,7.21,77427.0,0,0,0,0,7.21
15,4.0,7.75,10.79,43000.0,1,0,0,0,10.79
16,5.0,7.25,10.79,41678.0,1,0,0,0,10.79
18,5.0,3.25,5.09,35500.0,2,0,0,0,5.09
19,10.0,2.65,7.98,41442.0,0,0,0,0,7.98
20,4.0,2.85,3.95,25000.0,0,0,0,0,3.95
21,3.0,4.9,5.71,2400.0,0,0,0,0,5.71
22,9.0,4.4,8.01,50000.0,0,0,1,0,8.01
23,6.0,2.5,3.46,45280.0,0,0,0,0,3.46
24,7.0,2.9,4.41,56879.0,0,0,0,0,4.41
25,9.0,3.0,4.99,20000.0,0,0,0,0,4.99
26,7.0,4.15,5.87,55138.0,0,0,0,0,5.87
27,3.0,6.0,6.49,16200.0,0,1,0,0,6.49
28,10.0,1.95,3.95,44542.0,0,0,0,0,3.95
29,5.0,7.45,10.38,45000.0,1,0,0,0,10.38
30,8.0,3.1,5.98,51439.0,1,0,0,0,5.98
31,9.0,2.35,4.89,54200.0,0,0,0,0,4.89
32,6.0,4.95,7.49,39000.0,1,0,0,0,7.49
33,6.0,6.0,9.95,45000.0,1,0,0,0,9.95
34,6.0,5.5,8.06,45000.0,1,0,0,0,8.06
35,9.0,2.95,7.74,49998.0,2,0,0,0,7.74
36,5.0,4.65,7.2,48767.0,0,0,0,0,7.2
37,14.0,0.35,2.28,99708.75,0,1,0,0,2.28
38,4.0,3.0,3.76,10079.0,0,0,0,0,3.76
39,14.0,2.25,7.98,62000.0,0,0,0,0,7.98
40,4.0,5.85,7.87,24524.0,0,0,1,0,7.87
41,6.0,2.55,3.98,46706.0,0,0,0,0,3.98
42,12.0,1.95,7.15,58000.0,0,0,0,0,7.15
43,6.0,5.5,8.06,45780.0,1,0,0,0,8.06
44,8.0,1.25,2.69,50000.0,0,0,0,0,2.69
45,6.0,7.5,12.04,15000.0,0,0,1,0,12.04
46,7.0,2.65,4.89,64532.0,0,0,0,0,4.89
47,14.0,1.05,4.15,65000.0,0,0,0,0,4.15
48,5.0,5.8,7.71,25870.0,0,0,0,0,7.71
49,3.0,7.75,9.29,37000.0,0,0,1,0,9.29
50,8.0,13.725000000000001,22.8,99708.75,1,0,1,0,22.8
51,5.0,13.725000000000001,22.8,40000.0,1,0,1,0,22.8
52,3.0,13.725000000000001,19.77,15000.0,1,0,1,0,19.77
53,7.0,13.725000000000001,22.8,99708.75,1,1,1,0,22.8
54,14.0,2.75,10.21,90000.0,0,1,0,0,10.21
55,11.0,3.6,15.04,70000.0,0,0,1,0,15.04
56,5.0,4.5,7.27,40534.0,0,0,0,0,7.27
57,10.0,4.75,18.54,50000.0,0,0,0,0,18.54
58,6.0,4.1,6.8,39485.0,0,0,0,1,6.8
59,6.0,13.725000000000001,22.8,41000.0,1,0,1,0,22.8
60,7.0,6.95,18.61,40001.0,0,0,0,0,18.61
61,5.0,4.5,7.7,40588.0,0,0,0,0,7.7
62,6.0,13.725000000000001,22.8,78000.0,1,0,1,0,22.8
63,5.0,13.725000000000001,22.8,47000.0,1,0,1,0,22.8
64,3.0,13.725000000000001,22.8,6000.0,1,0,1,0,22.8
65,6.0,4.75,6.95,45000.0,1,0,0,0,6.95
66,3.0,13.725000000000001,22.8,11000.0,0,0,1,0,22.8
67,10.0,9.25,20.45,59000.0,1,0,0,0,20.45
68,9.0,4.35,13.74,88000.0,0,0,0,0,13.74
69,4.0,13.725000000000001,20.91,12000.0,0,0,0,0,20.91
70,6.0,3.95,6.76,71000.0,1,0,0,0,6.76
71,9.0,4.5,12.48,45000.0,1,0,0,0,12.48
72,7.0,7.45,18.61,56001.0,0,0,0,0,18.61
73,9.0,2.65,5.71,43000.0,0,0,0,0,5.71
74,6.0,4.9,8.93,83000.0,1,0,0,0,8.93
75,5.0,3.95,6.8,36000.0,0,0,0,0,6.8
76,7.0,5.5,14.68,72000.0,0,0,0,0,14.68
77,14.0,1.5,12.35,99708.75,0,0,1,0,12.35
